기간,대암댐 수위,대암댐 발전방류,대암댐 여수로방류,대암교 수위,사연교
2012-05-11 0:00,47.51,0,0,0.33,-0.76
2012-05-11 1:00,47.5,0,0,0.33,-0.76
2012-05-11 2:00,47.5,0,0,0.35,-0.76
2012-05-11 3:00,47.49,0,0,0.35,-0.76
2012-05-11 4:00,47.49,0,0,0.34,-0.76
2012-05-11 5:00,47.48,0,0,0.34,-0.76
2012-05-11 6:00,47.47,0,0,0.36,-0.76
2012-05-11 7:00,47.47,0,0,0.34,-0.76
2012-05-11 8:00,47.46,0,0,0.34,-0.76
2012-05-11 9:00,47.45,0,0,0.34,-0.76
2012-05-11 10:00,47.45,0,0,0.34,-0.76
2012-05-11 11:00,47.44,0,0,0.34,-0.76
2012-05-11 12:00,47.44,0,0,0.34,-0.76
2012-05-11 13:00,47.43,0,0,0.34,-0.76
2012-05-11 14:00,47.42,0,0,0.34,-0.76
2012-05-11 15:00,47.41,0,0,0.34,-0.76
2012-05-11 16:00,47.41,0,0,0.34,-0.76
2012-05-11 17:00,47.41,0,0,0.35,-0.76
2012-05-11 18:00,47.4,0,0,0.35,-0.76
2012-05-11 19:00,47.39,0,0,0.34,-0.76
2012-05-11 20:00,47.39,0,0,0.34,-0.76
2012-05-11 21:00,47.38,0,0,0.34,-0.76
2012-05-11 22:00,47.37,0,0,0.35,-0.76
2012-05-11 23:00,47.37,0,0,0.34,-0.76
2012-05-12 0:00,47.36,0,0,0.34,-0.76
2012-05-12 1:00,47.35,0,0,0.32,-0.76
2012-05-12 2:00,47.35,0,0,0.35,-0.76
2012-05-12 3:00,47.34,0,0,0.33,-0.76
2012-05-12 4:00,47.33,0,0,0.3,-0.76
2012-05-12 5:00,47.33,0,0,0.32,-0.76
2012-05-12 6:00,47.32,0,0,0.33,-0.76
2012-05-12 7:00,47.31,0,0,0.33,-0.76
2012-05-12 8:00,47.3,0,0,0.32,-0.76
2012-05-12 9:00,47.3,0,0,0.32,-0.77
2012-05-12 10:00,47.29,0,0,0.35,-0.77
2012-05-12 11:00,47.29,0,0,0.34,-0.77
2012-05-12 12:00,47.28,0,0,0.34,-0.77
2012-05-12 13:00,47.27,0,0,0.34,-0.77
2012-05-12 14:00,47.26,0,0,0.34,-0.77
2012-05-12 15:00,47.26,0,0,0.35,-0.77
2012-05-12 16:00,47.25,0,0,0.34,-0.78
2012-05-12 17:00,47.25,0,0,0.34,-0.8
2012-05-12 18:00,47.24,0,0,0.34,-0.79
2012-05-12 19:00,47.24,0,0,0.34,-0.79
2012-05-12 20:00,47.23,0,0,0.33,-0.78
2012-05-12 21:00,47.23,0,0,0.33,-0.78
2012-05-12 22:00,47.22,0,0,0.33,-0.78
2012-05-12 23:00,47.22,0,0,0.33,-0.78
2012-05-13 0:00,47.21,0,0,0.32,-0.78
2012-05-13 1:00,47.2,0,0,0.32,-0.78
2012-05-13 2:00,47.2,0,0,0.32,-0.78
2012-05-13 3:00,47.19,0,0,0.32,-0.78
2012-05-13 4:00,47.19,0,0,0.32,-0.78
2012-05-13 5:00,47.18,0,0,0.32,-0.78
2012-05-13 6:00,47.17,0,0,0.32,-0.78
2012-05-13 7:00,47.17,0,0,0.32,-0.78
2012-05-13 8:00,47.16,0,0,0.32,-0.78
2012-05-13 9:00,47.16,0,0,0.32,-0.78
2012-05-13 10:00,47.15,0,0,0.32,-0.78
2012-05-13 11:00,47.15,0,0,0.32,-0.78
2012-05-13 12:00,47.14,0,0,0.32,-0.78
