월일시분,국_구영 (구영교),울_척과교,국_삼호 (삼호교),울_명정교,국_울산 (태화교)
2016-05-01 00:00,0.54,999.00,0.38,999.00,1.21
2016-05-01 01:00,0.54,999.00,0.41,999.00,1.19
2016-05-01 02:00,0.54,999.00,0.41,999.00,1.22
2016-05-01 03:00,0.54,999.00,0.39,999.00,1.20
2016-05-01 04:00,0.53,999.00,0.38,999.00,1.19
2016-05-01 05:00,0.53,999.00,0.37,999.00,1.16
2016-05-01 06:00,0.53,999.00,0.36,999.00,1.12
2016-05-01 07:00,0.53,999.00,0.30,999.00,1.07
2016-05-01 08:00,0.53,999.00,0.27,999.00,1.01
2016-05-01 09:00,0.53,999.00,0.28,999.00,1.05
2016-05-01 10:00,0.53,999.00,0.29,999.00,1.11
2016-05-01 11:00,0.53,999.00,0.34,999.00,1.15
2016-05-01 12:00,0.52,999.00,0.35,999.00,1.26
2016-05-01 13:00,0.52,999.00,0.46,999.00,1.23
2016-05-01 14:00,0.52,999.00,0.49,999.00,1.31
2016-05-01 15:00,0.52,999.00,0.50,999.00,1.33
2016-05-01 16:00,0.52,999.00,0.46,999.00,1.27
2016-05-01 17:00,0.52,999.00,0.52,999.00,1.27
2016-05-01 18:00,0.52,999.00,0.39,999.00,1.25
2016-05-01 19:00,0.52,999.00,0.38,999.00,1.16
2016-05-01 20:00,0.52,999.00,0.33,999.00,1.10
2016-05-01 21:00,0.52,999.00,0.33,999.00,1.07
2016-05-01 22:00,0.52,999.00,0.30,999.00,1.11
2016-05-01 23:00,0.52,999.00,0.31,999.00,1.14
2016-05-02 00:00,0.52,999.00,0.29,999.00,1.10
2016-05-02 01:00,0.52,999.00,0.31,999.00,1.19
2016-05-02 02:00,0.52,999.00,0.36,999.00,1.16
2016-05-02 03:00,0.52,999.00,0.33,999.00,1.19
2016-05-02 04:00,0.52,999.00,0.42,999.00,1.21
2016-05-02 05:00,0.51,999.00,0.36,999.00,1.15
2016-05-02 06:00,0.51,999.00,0.32,999.00,1.10
2016-05-02 07:00,0.51,999.00,0.26,999.00,1.08
2016-05-02 08:00,0.51,999.00,0.24,999.00,1.00
2016-05-02 09:00,0.51,999.00,0.22,999.00,0.99
2016-05-02 10:00,0.51,999.00,0.22,999.00,0.93
2016-05-02 11:00,0.51,999.00,0.21,999.00,0.98
2016-05-02 12:00,0.51,999.00,0.25,999.00,1.03
2016-05-02 13:00,0.51,999.00,0.28,999.00,1.08
2016-05-02 14:00,0.51,999.00,0.37,999.00,1.20
2016-05-02 15:00,0.50,999.00,0.45,999.00,1.20
2016-05-02 16:00,0.50,999.00,0.35,999.00,1.21
2016-05-02 17:00,0.50,999.00,0.40,999.00,1.17
2016-05-02 18:00,0.50,999.00,0.39,999.00,1.19
2016-05-02 19:00,0.50,999.00,0.33,999.00,1.11
2016-05-02 20:00,0.50,999.00,0.31,999.00,1.08
2016-05-02 21:00,0.50,999.00,0.24,999.00,1.03
2016-05-02 22:00,0.50,999.00,0.22,999.00,0.98
2016-05-02 23:00,0.50,999.00,0.23,999.00,0.98
2016-05-03 00:00,0.50,999.00,0.24,999.00,1.04
2016-05-03 01:00,0.50,999.00,0.29,999.00,1.08
2016-05-03 02:00,0.50,999.00,0.35,999.00,1.15
2016-05-03 03:00,0.50,999.00,0.38,999.00,1.20
2016-05-03 04:00,0.50,999.00,0.38,999.00,1.28
2016-05-03 05:00,0.50,999.00,0.39,999.00,1.28
2016-05-03 06:00,0.50,999.00,0.48,999.00,1.23
2016-05-03 07:00,0.49,999.00,0.44,999.00,1.31
2016-05-03 08:00,0.50,999.00,0.44,999.00,1.20
2016-05-03 09:00,0.55,999.00,0.43,999.00,1.20
2016-05-03 10:00,0.57,999.00,0.48,999.00,1.14
2016-05-03 11:00,0.59,999.00,0.43,999.00,1.15
2016-05-03 12:00,0.61,999.00,0.46,999.00,1.11
2016-05-03 13:00,0.67,999.00,0.50,999.00,1.16
2016-05-03 14:00,0.71,999.00,0.64,999.00,1.28
2016-05-03 15:00,0.74,999.00,0.81,999.00,1.22
2016-05-03 16:00,0.76,999.00,0.94,999.00,1.32
2016-05-03 17:00,0.76,999.00,1.00,999.00,1.33
2016-05-03 18:00,0.76,999.00,1.00,999.00,1.35
2016-05-03 19:00,0.76,999.00,0.99,999.00,1.40
2016-05-03 20:00,0.76,999.00,0.97,999.00,1.29
2016-05-03 21:00,0.75,999.00,0.94,999.00,1.25
2016-05-03 22:00,0.74,999.00,0.91,999.00,1.17
2016-05-03 23:00,0.74,999.00,0.88,999.00,1.11
